,date,application_date,application_received,application_evaluation,certificate,manager_review_data,interview_date,offer_date
74,2019-10-14,150.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2019-10-15,150.0,600.0,750.0,0.0,0.0,409.0,55.0
76,2019-10-16,150.0,150.0,150.0,750.0,682.0,0.0,0.0
77,2019-10-17,150.0,150.0,0.0,150.0,136.0,0.0,327.0
78,2019-10-18,150.0,150.0,0.0,0.0,0.0,68.0,0.0
79,2019-10-19,150.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2019-10-20,150.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2019-10-21,150.0,450.0,750.0,0.0,0.0,205.0,54.0
82,2019-10-22,150.0,150.0,150.0,750.0,682.0,0.0,0.0
83,2019-10-23,150.0,150.0,150.0,150.0,136.0,0.0,164.0
84,2019-10-24,150.0,150.0,0.0,150.0,137.0,0.0,0.0
85,2019-10-25,150.0,150.0,0.0,0.0,0.0,0.0,0.0
86,2019-10-26,150.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2019-10-27,150.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2019-10-28,150.0,450.0,750.0,0.0,0.0,409.0,0.0
89,2019-10-29,150.0,150.0,150.0,750.0,681.0,0.0,0.0
90,2019-10-30,150.0,150.0,150.0,150.0,137.0,0.0,327.0
91,2019-10-31,150.0,150.0,0.0,150.0,136.0,0.0,0.0
92,2019-11-01,150.0,150.0,0.0,0.0,0.0,0.0,0.0
93,2019-11-02,150.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2019-11-03,150.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2019-11-04,150.0,450.0,750.0,0.0,0.0,477.0,0.0
96,2019-11-05,150.0,150.0,115.0,750.0,682.0,0.0,0.0
97,2019-11-06,150.0,150.0,36.0,115.0,105.0,0.0,382.0
98,2019-11-07,150.0,150.0,150.0,36.0,32.0,0.0,0.0
99,2019-11-08,150.0,150.0,0.0,150.0,137.0,0.0,0.0
100,2019-11-09,150.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2019-11-10,150.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2019-11-11,150.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2019-11-12,150.0,600.0,750.0,0.0,0.0,477.0,0.0
104,2019-11-13,150.0,150.0,150.0,750.0,681.0,0.0,0.0
105,2019-11-14,150.0,150.0,150.0,150.0,137.0,0.0,382.0
106,2019-11-15,150.0,150.0,0.0,150.0,136.0,0.0,0.0
107,2019-11-16,150.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2019-11-17,150.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2019-11-18,150.0,450.0,600.0,0.0,0.0,410.0,0.0
110,2019-11-19,150.0,150.0,150.0,600.0,547.0,69.0,0.0
111,2019-11-20,150.0,150.0,150.0,150.0,136.0,0.0,328.0
112,2019-11-21,150.0,150.0,150.0,0.0,0.0,0.0,53.0
113,2019-11-22,150.0,150.0,0.0,0.0,0.0,0.0,0.0
114,2019-11-23,150.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2019-11-24,150.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2019-11-25,150.0,300.0,600.0,300.0,274.0,409.0,0.0
117,2019-11-26,150.0,150.0,150.0,0.0,0.0,68.0,0.0
118,2019-11-27,150.0,150.0,150.0,0.0,0.0,0.0,0.0
119,2019-11-28,150.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2019-11-29,150.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2019-11-30,150.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2019-12-01,150.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2019-12-02,150.0,750.0,750.0,900.0,818.0,274.0,319.0
124,2019-12-03,150.0,150.0,0.0,750.0,682.0,0.0,0.0
125,2019-12-04,150.0,150.0,150.0,0.0,0.0,0.0,219.0
126,2019-12-05,150.0,150.0,112.0,150.0,136.0,0.0,0.0
127,2019-12-06,150.0,150.0,37.0,112.0,102.0,0.0,0.0
128,2019-12-07,150.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2019-12-08,150.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2019-12-09,150.0,450.0,150.0,37.0,33.0,68.0,0.0
131,2019-12-10,150.0,150.0,75.0,150.0,137.0,0.0,0.0
132,2019-12-11,150.0,150.0,750.0,75.0,68.0,0.0,55.0
133,2019-12-12,150.0,150.0,337.0,750.0,682.0,138.0,0.0
134,2019-12-13,150.0,150.0,74.0,337.0,306.0,409.0,0.0
135,2019-12-14,150.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2019-12-15,150.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2019-12-16,150.0,450.0,714.0,74.0,67.0,409.0,438.0
138,2019-12-17,150.0,150.0,0.0,714.0,649.0,51.0,0.0
139,2019-12-18,150.0,150.0,0.0,0.0,0.0,0.0,327.0
140,2019-12-19,150.0,150.0,375.0,0.0,0.0,0.0,40.0
141,2019-12-20,150.0,150.0,0.0,375.0,342.0,16.0,0.0
142,2019-12-21,150.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2019-12-22,150.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2019-12-23,150.0,450.0,375.0,0.0,0.0,444.0,11.0
145,2019-12-24,150.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2019-12-25,150.0,0.0,0.0,0.0,0.0,0.0,0.0
